"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","a pic of me giving the camera guy an aggressive side eye made it in the indy star this weekend (peep me in the gree… https://t.co/hkuMu6MMj5",FALSE,0,NA,2019-06-24 03:23:55,TRUE,NA,"1142996747595202561",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","pmwood17",0,FALSE,FALSE,NA,NA
"2","RT @muthamizhcdm: Yoga sessions conducted from Isha on the occasion of International yoga day, #WorldBreathesYoga https://t.co/cP2B1DSKOW",FALSE,0,NA,2019-06-24 03:22:19,FALSE,NA,"1142996345491320832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shambhaviJAI",256,TRUE,FALSE,NA,NA
"3","RT @pranayarolkar: #IDY2019 International Day of Yoga, session at Chandraramji high school at CP tank , Mumbai students learning Upa Yoga p…",FALSE,0,NA,2019-06-24 03:22:16,FALSE,NA,"1142996333000708096",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shambhaviJAI",104,TRUE,FALSE,NA,NA
"4","RT @PMBhutan: Prime Minister Dr Lotay Tshering leads the International Day of Yoga 2019 celebrations in Thimphu organised by @Indiainbhutan…",FALSE,0,NA,2019-06-24 03:21:38,FALSE,NA,"1142996175286444033",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Divyeshkumar_M",154,TRUE,FALSE,NA,NA
"5","5th International Yoga Day 2019 at Pune

Read full @ https://t.co/Kk9ZZgJmMj https://t.co/iSCn958fyS",FALSE,0,NA,2019-06-24 03:18:22,FALSE,NA,"1142995350434619392",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","epaomanipur",0,FALSE,FALSE,NA,NA
"6","RT @Santosh93053499: Children are future of the country.
With the inspiration from Sant Shri Asaram Bapu Ji, many Gurukuls were opened for…",FALSE,0,NA,2019-06-24 03:16:41,FALSE,NA,"1142994928558960640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","itsNandeeni",28,TRUE,FALSE,NA,NA
"7","International Yoga Day 2019 https://t.co/bA1617aCZN",FALSE,0,NA,2019-06-24 03:15:37,FALSE,NA,"1142994658684882944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","kvvvnagar",0,FALSE,FALSE,NA,NA
"8","RT @amb_tashkent: Spreading the message of unison of Mind, body, souls and Universe in Uzbekistan- Embassy and LBS Cultural Centre celebrat…",FALSE,0,NA,2019-06-24 03:15:25,FALSE,NA,"1142994608411930624",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Chitraaol1998",630,TRUE,FALSE,NA,NA
"9","RT @InnrEngineering: Myths About Yoga #2
You can learn yoga from a book...

#Sadhguru shares insight about learning yoga from a book.

Inte…",FALSE,0,NA,2019-06-24 03:15:19,FALSE,NA,"1142994586165370882",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shambhaviJAI",50,TRUE,FALSE,NA,NA
"10","RT @IndiainMyanmar: <U+0001F1EE><U+0001F1F3> India Myanmar <U+0001F1F2><U+0001F1F2> 
21 June || #YogaDay2019 
Message on International Day of Yoga: Peace Peace Peace https://t.co/uN0Y…",FALSE,0,NA,2019-06-24 03:14:40,FALSE,NA,"1142994420486160384",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","Chitraaol1998",895,TRUE,FALSE,NA,NA
